asset_name_raw,asset_type,lawmaker,chamber,trade_date,source,source_doc_id
Bank Nova scotia halifax Pfd 3 Ordinary,equity,William L. Owens,House,2014-09-08,house,20001650
Bonterra Energy Corp. Ordinary shares,equity,William L. Owens,House,2014-09-08,house,20001650
hudsons Bay Co Common shares,equity,William L. Owens,House,2014-09-08,house,20001650
"Whitecap Resources, Inc. Common",equity,William L. Owens,House,2014-09-08,house,20001650
Eaton Vance Tax-advantaged Global,equity,Gary C. Peters,House,2014-12-02,house,20002238
John Hancock Tax advantaged Dividend,equity,Gary C. Peters,House,2014-12-02,house,20002238
"Blackstone Mortgage Trust, Inc.",equity,Gary C. Peters,House,2014-04-21,house,20000869
Fifth Street Senior Floating Rate Corp.,equity,Gary C. Peters,House,2014-04-21,house,20000869
Holland Michigan Electric,equity,Gary C. Peters,House,2014-04-22,house,20000869
Newport Mining Corp B/E,equity,Gary C. Peters,House,2014-04-11,house,20000869
Transocean Inc B/E,equity,Gary C. Peters,House,2014-04-11,house,20000869
Calamos Strategic Total Return Fund,equity,Gary C. Peters,House,2014-04-23,house,20001017
ClIFF NaT RESOURCES INC,equity,Gary C. Peters,House,2014-05-16,house,20001017
DOW ChEMICal CO/ThE NTS,equity,Gary C. Peters,House,2014-05-15,house,20001017
Prospect CPTl CORP,equity,Gary C. Peters,House,2014-04-24,house,20001017
Kalamazoo MICh Public Schools,equity,Gary C. Peters,House,2014-08-27,house,20001655
oakland County Michigan WTR Supply,equity,Gary C. Peters,House,2014-10-07,house,20001899
Essex County Bonds,equity,Scott H. Peters,House,2014-11-04,house,20002212
